"w1","wp","freq"
"ホランド","ノヴァク",15
"","a",44
"a","a",12
"aaaah","and",32
"aaaand","study",6
"a","about",42
"a","absolutely",63
"aa","bunch",5
"aacc","were",29
"a","act",34
"a","addiction",38
"a","adjusted",47
"a","advantage",6
"a","affecting",37
"a","afghan",1
"a","after",22
"a","agreed",46
"a","agreement",2
"aaja","he",2
"aaja","ni",2
"a","along",29
"a","am",28
"aa","member",19
"aamir","khan",20
"aam","plugin",49
"a","and",217
"a","animal",58
"a","another",1
"a","anyway",3
"aapl","doesnt",5
"aapl","stores",3
"a","applause",50
"a","application",38
"a","are",5
"aaron","craft",16
"aaron","gordon",62
"aaron","has",10
"aaron","olver",1
"aaron","peskin",4
"aarons","at",19
"aaron","woo",3
"aarps","social",19
"aarps","stance",9
"a","as",3
"a","at",25
"a","atrocity",14
"a","auburn",15
"a","authentic",5
"a","author",31
"a","autograph",15
"a","awesome",47
"a","b",3
"aba","also",35
"a","baby",65
"a","babysitter",6
"a","bachelor",36
"a","back",5
"a","backandforth",39
"aback","by",31
"a","backdrop",2
"a","backer",2
"aback","the",10
"aback","they",5
"a","backup",18
"a","backyard",26
"aback","you",5
"a","bad",332
"a","bag",15
"a","bail",1
"a","baker",126
"a","baking",14
"a","balance",39
"a","balding",38
"a","ball",14
"a","ballet",2
"abalone","that",34
"a","baltimore",10
"a","band",53
"abandoned","and",17
"abandoned","click",29
"abandoned","highway",11
"abandoned","the",9
"abandoned","twostory",29
"abandoning","a",32
"a","bang",39
"a","banjoladen",1
"a","bank",16
"a","banking",4
"a","bar",24
"a","bare",12
"a","barge",16
"a","barn",40
"a","baroque",7
"a","barrage",24
"a","baseball",2
"abased","and",1
"a","basement",48
"a","basic",71
"a","basket",26
"a","basketball",55
"a","bat",2
"a","bath",1
"a","bathroom",2
"abating","but",10
"a","battle",196
"a","battleground",30
"abbey","and",16
"abbey","to",16
"abbington","a",34
"a","bbq",56
"abby","is",6
"abby","said",28
"abc","goes",37
"abc","news",43
"abc","pre",17
"abc","soap",35
"abcteam","coverage",53
"abc","to",20
"abdelmoneim","abolfotoh",33
"abdominal","pain",40
"abdul","celeb",16
"abdul","this",1
"a","be",14
"a","beach",40
"a","beacon",4
"a","bean",21
"a","bear",83
"a","beatup",34
"a","beautiful",226
"a","because",34
"a","bed",35
"a","bee",3
"a","beer",90
"a","beetle",31
"a","beginner",7
"a","beginning",66
"a","behavior",28
"a","believer",62
"a","bell",3
"a","belligerent",1
"a","benevolent",5
"a","benign",1
"abercrombie","viser",1
"aberdeen","proving",6
"aberdeen","test",29
"a","bernanke",5
"a","best",2
"a","bet",16
"a","betta",1
"a","better",295
"a","beverage",32
"abeygunasekara","mpand",10
"a","biased",33
"a","biblical",44
"a","bicycle",1
"a","bicyclerepair",6
"a","bid",54
"abide","by",6
"abide","to",5
"a","big",986
"abigail","moore",27
"a","bigtime",9
"a","bike",2
"ability","and",47
"ability","att",3
"ability","bless",54
"ability","of",1
"ability","to",568
"ability","were",5
"ability","where",23
"a","bill",3
"a","billion",17
"a","billy",60
"abi","morgan",2
"a","binder",31
"a","bionic",7
"a","bird",106
"a","birdthe",41
"a","birthday",41
"a","bit",1084
"a","bitdisturbing",58
"a","bite",6
"ab","jam",19
"a","blackberry",25
"a","blackhawks",33
"a","blackjack",41
"a","bladder",3
"a","blank",74
"a","blanket",23
"a","blast",70
"a","blazers",2
"a","blender",17
"a","blessed",13
"able","to",1398
"a","blink",34
"a","blister",39
"a","block",99
"a","blog",89
"a","blogger",41
"a","blood",3
"a","bloody",88
"a","blue",34
"a","blueberry",2
"a","blueprint",16
"a","blunt",19
"a","blush",14
"a","blustery",34
"a","bmw",5
"abnormally","advantageous",5
"abnormal","to",42
"aboard","a",2
"aboard","apollo",12
"aboard","cadence",1
"aboard","the",21
"a","boast",36
"a","boated",11
"a","boatload",14
"a","bobomb",5
"abode","beyond",5
"abode","the",5
"a","body",32
"a","bodys",11
"a","boeing",37
"a","bog",1
"a","bogus",2
"a","boil",46
"abolfotoh","both",33
"abolish","all",11
"abolish","the",35
"a","bond",19
"a","bonus",32
"a","book",362
"a","booking",26
"a","bookmark",14
"a","bookstore",4
"a","booming",13
"a","boon",11
"a","boost",8
"a","booster",4
"aboout","you",33
"a","boozer",19
"a","border",76
"a","borderline",10
"a","boring",7
"a","boss",1
"a","both",12
"a","bottle",3
"a","bottlings",10
"a","boundary",26
"abound","in",29
"abounding","dejected",5
"abound","while",7
"abound","with",14
"a","bounty",18
"about","a",404
"about","accepting",38
"about","acres",11
"about","adding",37
"about","all",35
"about","am",60
"about","an",23
"about","and",22
"about","any",1
"about","anything",6
"about","apps",50
"about","as",24
"about","at",36
"about","ballard",22
"about","basketball",3
"about","because",3
"about","bed",27
"about","beer",1
"about","being",100
"about","big",2
"about","billion",3
"about","birds",3
"about","blowing",31
"about","bookselling",1
"about","brownies",1
"about","bullying",4
"about","but",6
"about","by",1
"about","caring",22
"about","cents",74
"about","character",31
"about","charlie",55
"about","chen",1
"about","cleveland",17
"about","cocoons",5
"about","competitive",1
"about","computer",9
"about","controlling",51
"about","cooking",18
"about","creative",19
"about","crowdsourced",7
"about","cultural",38
"about","cup",21
"about","cups",3
"about","cutting",31
"about","dancing",1
"about","dat",17
"about","dating",24
"about","days",1
"about","designing",18
"about","determining",42
"about","did",58
"about","different",8
"about","discovering",1
"about","discrimination",41
"about","diverse",14
"about","doing",152
"about","donating",4
"about","drawing",11
"about","drip",4
"about","dudes",29
"about","dying",2
"about","each",2
"about","eassist",30
"about","edcamps",11
